A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:03
A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:04
A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:05
A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:05
A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:06
A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:08
A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:09
A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:10
A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:11
A,	Gavin,	1001,	Bagged string,	Rope Pusher V1,	10,	1,	200,,2015:10:29:03:08:17
B,,,,,,,,,2015:10:29:03:13:36
B,,,,,,,,,2015:10:29:03:13:39
B,,,,,,,,,2015:10:29:03:13:40
B,,,,,,,,,2015:10:29:03:13:41
B,,,,,,,,,2015:10:29:03:13:43
B,,,,,,,,,2015:10:29:03:16:51
B,,,,,,,,,2015:10:29:03:16:52
C,,,,,,,,,2015:10:29:03:17:06
C,,,,,,,,,2015:10:29:03:17:09
C,,,,,,,,,2015:10:29:03:17:10
C,,,,,,,,,2015:10:29:03:17:11
C,rylan,,,,,,,,2015:10:29:03:17:54
C,rylan,,,,,,,,2015:10:29:03:17:56
C,rylan,,,,,,,,2015:10:29:03:17:57
C,rylan,,,,,,,,2015:10:29:03:18:27
C,rylan,,,,,,,,2015:10:29:03:18:28
C,rylan,,,,,,,,2015:10:29:03:18:29
C,rylan,,,,,,,,2015:10:29:03:18:30
C,rylan,,,,,,,,2015:10:29:03:18:32
C,rylan,,,,,,,,2015:10:29:03:18:33
C,rylan,,,,,,,,2015:10:29:03:43:28
C,rylan,,,,,,,,2015:10:29:03:43:29
C,rylan,,,,,,,,2015:10:29:03:43:30
C,rylan,,,,,,,,2015:10:29:03:43:31
C,rylan,,,,,,,,2015:10:29:03:43:32
C,rylan,,,,,,,,2015:10:29:03:43:32
